Date,Open,High,Low,Close,Adj Close,Volume
08-03-19,28409.14063,28533.75977,28201.08984,28228.41992,28228.41992,2998999600
07-03-19,28965.41992,29007.07031,28772.44922,28779.44922,28779.44922,1691993300
06-03-19,29003.25,29122.81055,28938.39063,29037.59961,29037.59961,1794494900
05-03-19,28823.16016,29025.78906,28734.81055,28961.59961,28961.59961,1951621500
04-03-19,28855.10938,29241.80078,28760.66992,28959.58984,28959.58984,2682948700
01-03-19,28716.59961,28860.19922,28663.71094,28812.16992,28812.16992,1927040400
28-02-19,28719.71094,28917.49023,28571.13086,28633.17969,28633.17969,2086693500
27-02-19,28833.16016,29014.18945,28701.4707,28757.43945,28757.43945,2378404200
26-02-19,28971.23047,28971.23047,28700.00977,28772.06055,28772.06055,2758187900
25-02-19,28975.51953,29009.98047,28763.46094,28959.30078,28959.30078,3517972400
22-02-19,28478.96094,28816.30078,28430.19922,28816.30078,28816.30078,1706490600
21-02-19,28450,28759.34961,28364.84961,28629.91992,28629.91992,1814520300
20-02-19,28404.67969,28599.76953,28357.30078,28514.05078,28514.05078,1928707100
19-02-19,28440.49023,28488.9707,28208.86914,28228.13086,28228.13086,1653127000
18-02-19,28186.75,28412.08008,28186.75,28347.00977,28347.00977,1549943500
15-02-19,28241.43945,28256.68945,27845.86914,27900.83984,27900.83984,1781495400
14-02-19,28396.40039,28476.65039,28275.17969,28432.05078,28432.05078,1433724900
13-02-19,28184.86914,28533.35938,28160.46094,28497.58984,28497.58984,1930777700
12-02-19,28093.31055,28219.58984,27983.48047,28171.33008,28171.33008,1492521500
11-02-19,27927.44922,28143.83984,27847.84961,28143.83984,28143.83984,1384082500
08-02-19,27708.13086,28008.82031,27534.19922,27946.32031,27946.32031,1527669600
04-02-19,27985.41992,28005.15039,27847.42969,27990.21094,27990.21094,808061300
01-02-19,28193.2793,28193.2793,27802.5,27930.74023,27930.74023,1669716900
31-01-19,27842.05078,28010.90039,27773.98047,27942.4707,27942.4707,2225282600
30-01-19,27571.41016,27642.84961,27369.75,27642.84961,27642.84961,1821894600
29-01-19,27397.53906,27575.36914,27328.16992,27531.67969,27531.67969,1821838000
28-01-19,27695.81055,27790.2207,27462.36914,27576.96094,27576.96094,1705146300
25-01-19,27282.88086,27569.18945,27217.75,27569.18945,27569.18945,2264965800
24-01-19,27075.36914,27120.98047,26889.78906,27120.98047,27120.98047,1323732100
23-01-19,26879.91016,27131.2207,26879.91016,27008.19922,27008.19922,1381999400
22-01-19,27189.40039,27223.69922,26854.66016,27005.44922,27005.44922,1578449700
21-01-19,27134.26953,27323.60938,27084.30078,27196.53906,27196.53906,1640014700
18-01-19,26993.43945,27116.65039,26915.08008,27090.81055,27090.81055,1692701900
17-01-19,26953.21094,27012.18945,26703.31055,26755.63086,26755.63086,1860541000
16-01-19,26702.92969,26903.7793,26567.51953,26902.09961,26902.09961,1714886500
15-01-19,26518.61914,26838.55078,26427.44922,26830.28906,26830.28906,1822902000
14-01-19,26559.67969,26575.33008,26195.7793,26298.33008,26298.33008,1426017400
11-01-19,26692.01953,26692.01953,26494.85938,26667.26953,26667.26953,1799353900
10-01-19,26391.7793,26588.21094,26212.33984,26521.42969,26521.42969,1939043900
09-01-19,26237.28906,26597.07031,26192.65039,26462.32031,26462.32031,2680892000
08-01-19,25852.5,25960.89063,25688.5,25875.44922,25875.44922,1578205700
07-01-19,26015.83984,26043.64063,25753.46094,25835.69922,25835.69922,1447090300
04-01-19,24946.11914,25626.0293,24924.73047,25626.0293,25626.0293,1708572100
03-01-19,25077.67969,25262.21094,24896.86914,25064.35938,25064.35938,1481291700
02-01-19,25824.43945,25824.43945,25055.26953,25130.34961,25130.34961,1666316400
31-12-18,25732.51953,25916.23047,25682.66016,25845.69922,25845.69922,826507300
28-12-18,25502.33984,25600.25,25416.35938,25504.19922,25504.19922,1224894400
27-12-18,25818.81055,25920.63086,25446.80078,25478.88086,25478.88086,1313061500
24-12-18,25515.40039,25651.38086,25421.42969,25651.38086,25651.38086,1074120100
21-12-18,25512.30078,25805.60938,25313.75,25753.41992,25753.41992,1935298900
20-12-18,25723.5293,25859.82031,25416.88086,25623.5293,25623.5293,1717860300
19-12-18,25860.67969,25925.99023,25784.08984,25865.39063,25865.39063,1430181500
